date,Cali_acpm,Medellín_acpm,Bogotá_acpm
2020-01-30,9566.00,9465.00,9456.00
2020-02-28,9565.00,9464.00,9456.00
2020-03-30,9443.00,9341.00,9333.00
2020-04-30,8589.00,8630.00,8460.00
2020-05-30,8560.00,8603.00,8456.00
2020-06-30,8602.00,8615.00,8447.00
2020-07-30,8558.00,8600.00,8410.00
2020-08-31,8482.00,8503.00,8312.00
2020-09-30,8506.00,8524.00,8325.00
2020-10-31,8423.00,8476.00,8285.00
2020-11-30,8411.00,8479.00,8255.00
2020-12-31,8416.00,8544.00,8272.00
2021-01-31,8521.00,8564.00,8350.00
2021-02-28,8563.00,8688.00,8403.00
2021-03-31,8688.00,8820.00,8573.00
2021-04-30,8828.00,8936.00,8674.00
2021-05-30,8876.00,8930.00,8696.00
2021-06-30,8620.00,8974.00,8655.00
2021-07-30,8804.00,8914.00,8650.00
2021-08-30,8810.00,8912.00,8650.00
